B15003_017E,state,place,year
57,51,60920,2020
555,51,60984,2020
608,51,61208,2020
405,51,61336,2020
133,51,61464,2020
429,51,61560,2020
6111,51,61832,2020
80,51,61896,2020
602,51,62264,2020
183,51,62738,2020
330,51,63190,2020
41,51,63288,2020
1816,51,63768,2020
76,51,63896,2020
52,51,63928,2020
16148,51,64000,2020
935,51,64152,2020
296,51,64272,2020
87,51,64288,2020
89,51,64384,2020
194,51,64512,2020
291,51,64560,2020
1880,51,64880,2020
27,51,64976,2020
731,51,65008,2020
77,51,65120,2020
363,51,65128,2020
33,51,65280,2020
1454,51,65392,2020
506,51,65744,2020
297,51,65776,2020
0,51,66032,2020
99,51,66512,2020
3830,51,66672,2020
172,51,66896,2020
954,51,66928,2020
27365,51,67000,2020
166,51,67208,2020
181,51,67256,2020
168,51,67288,2020
51,51,67304,2020
93,51,67331,2020
125,51,67352,2020
169,51,67704,2020
20239,51,68000,2020
1328,51,68470,2020
0,51,68480,2020
859,51,68496,2020
2034,51,68880,2020
54,54,10852,2020
237,54,10876,2020
239,54,10948,2020
1109,54,11188,2020
130,54,11212,2020
380,54,11284,2020
24,54,11620,2020
142,54,11716,2020
47,54,12124,2020
43,54,12436,2020
127,54,12484,2020
143,54,13108,2020
178,54,13468,2020
465,54,13525,2020
0,54,13684,2020
321,54,13756,2020
157,54,13924,2020
28,54,14212,2020
232,54,14308,2020
227,54,14524,2020
6614,54,14600,2020
896,54,14610,2020
139,54,14630,2020
190,54,14692,2020
47,54,14716,2020
1083,54,14775,2020
216,54,14812,2020
432,54,15028,2020
529,54,15076,2020
3319,54,15628,2020
221,54,15676,2020
121,54,15916,2020
283,54,16012,2020
98,54,16132,2020
504,54,16516,2020
654,54,16612,2020
34,54,16972,2020
14,54,17140,2020
53,54,17380,2020
80,54,17836,2020
947,54,10420,2020
21,54,18124,2020
25,54,18388,2020
175,54,18412,2020
675,54,18508,2020
873,54,18604,2020
104,54,19060,2020
2165,54,19108,2020
14,54,19300,2020
41,54,19324,2020
0,54,19492,2020
970,54,19516,2020
0,54,19588,2020
0,54,19948,2020
362,54,20164,2020
1933,55,56925,2020
58,55,57000,2020
99,55,57008,2020
63,55,57050,2020
1547,55,57100,2020
402,55,57325,2020
62,55,57375,2020
12,55,57700,2020
1302,55,58000,2020
156,55,58025,2020
451,55,58050,2020
36,55,58100,2020
169,55,58375,2020
383,55,58400,2020
142,55,58575,2020
6802,55,58800,2020
61,55,58850,2020
303,55,58900,2020
2152,55,59250,2020
75,55,59300,2020
1258,55,59350,2020
731,55,59400,2020
8,55,59450,2020
80,55,59475,2020
65,55,59500,2020
656,55,59650,2020
63,55,59800,2020
691,55,59875,2020
2407,55,59925,2020
103,55,60075,2020
600,55,60100,2020
1183,55,60200,2020
338,55,60250,2020
562,55,60450,2020
11938,55,60500,2020
479,55,60575,2020
156,55,60825,2020
167,55,60875,2020
12,55,60912,2020
84,55,60950,2020
437,55,60975,2020
610,55,61025,2020
384,55,61100,2020
552,55,61200,2020
68,55,61325,2020
61,55,61425,2020
42,55,61675,2020
140,55,61750,2020
38,55,61800,2020
216,55,61925,2020
823,55,62175,2020
1637,55,62240,2020
1405,55,62250,2020
394,55,62450,2020
139,55,62675,2020
51,55,62975,2020
132,48,06104,2020
10877,48,06128,2020
57,48,06140,2020
285,48,06200,2020
31,48,06242,2020
142,48,06244,2020
249,48,06272,2020
19833,48,07000,2020
224,48,07036,2020
234,48,07042,2020
127,48,07108,2020
5356,48,07132,2020
62,48,07144,2020
477,48,07156,2020
1868,48,07192,2020
590,48,07300,2020
96,48,07396,2020
1764,48,07408,2020
324,48,07420,2020
717,48,07432,2020
217,48,07486,2020
2551,48,07492,2020
0,48,07516,2020
274,48,07528,2020
228,48,07540,2020
2613,48,07552,2020
36,48,07636,2020
48,48,07642,2020
256,48,07708,2020
250,48,07852,2020
542,48,07864,2020
339,48,08104,2020
232,48,08128,2020
171,48,08164,2020
722,48,08212,2020
296,48,08224,2020
4522,48,08236,2020
128,48,08240,2020
137,48,08260,2020
526,48,08392,2020
21,48,08398,2020
91,48,08404,2020
15,48,08410,2020
40,48,08488,2020
531,48,08536,2020
75,48,08596,2020
19,48,08644,2020
64,48,08668,2020
153,48,08752,2020
105,48,08788,2020
421,48,08800,2020
270,48,08812,2020
51,48,08830,2020
467,48,08860,2020
106,48,08872,2020
108,48,08908,2020
9,48,08932,2020
94,48,09004,2020
1704,48,09160,2020
182,48,46968,2020
167,48,47004,2020
62,48,47016,2020
703,48,47040,2020
278,48,47088,2020
735,48,47100,2020
22,48,47172,2020
209,48,47268,2020
66,48,47316,2020
321,48,47330,2020
731,48,47337,2020
616,48,47406,2020
85,48,47460,2020
1024,48,47496,2020
33,48,47568,2020
426,48,47616,2020
250,48,47628,2020
0,48,47676,2020
2521,48,47700,2020
310,48,47760,2020
466,48,47796,2020
29,48,47820,2020
150,48,47832,2020
21532,48,47892,2020
40,48,47898,2020
1664,48,47916,2020
129,48,47988,2020
39,48,48048,2020
17087,48,48072,2020
3990,48,48096,2020
53,48,48180,2020
418,48,48272,2020
177,48,48280,2020
0,48,48315,2020
194,48,48318,2020
602,48,48320,2020
367,48,48324,2020
84,48,48336,2020
53,48,48372,2020
227,48,48396,2020
200,48,48408,2020
0,48,46854,2020
24,48,48478,2020
66,48,48564,2020
836,48,48648,2020
2836,48,48684,2020
103,48,48720,2020
135,48,48750,2020
68,48,48756,2020
9436,48,48768,2020
5937,48,48772,2020
9118,48,48804,2020
14,48,48852,2020
39,48,48858,2020
1310,48,48936,2020
67,48,49032,2020
587,48,49068,2020
234,48,49080,2020
162,48,49128,2020
10,40,30400,2020
0,40,30500,2020
87,40,30600,2020
1,40,30750,2020
279,40,30850,2020
70,40,30900,2020
101,40,30915,2020
316,40,30950,2020
91,40,31000,2020
52,40,31150,2020
68,40,31165,2020
27,40,31250,2020
53,40,31375,2020
30,40,31425,2020
1300,40,31600,2020
1980,40,31700,2020
1701,40,31750,2020
117,40,31900,2020
26,40,32050,2020
180,40,32250,2020
30,40,32350,2020
61,40,32400,2020
35,40,32550,2020
1237,40,32750,2020
447,40,32850,2020
409,40,32900,2020
16,40,33000,2020
80,40,33150,2020
40,40,33250,2020
24,40,33300,2020
666,40,33350,2020
573,40,33400,2020
188,40,33450,2020
24,40,33600,2020
28,40,33650,2020
577,40,33700,2020
1224,40,33750,2020
41,40,34150,2020
22,40,34650,2020
627,40,34750,2020
28,40,34850,2020
22,40,34900,2020
779,40,35000,2020
26,40,35030,2020
10,40,35150,2020
34,40,35300,2020
1139,40,35400,2020
267,40,35500,2020
14,40,35550,2020
5,40,35800,2020
672,40,35850,2020
48,40,35875,2020
229,40,36000,2020
0,40,36020,2020
5,40,36050,2020
33,40,36090,2020
1,40,36115,2020
188,40,36150,2020
25,41,78300,2020
507,41,78600,2020
240,41,78800,2020
792,41,78900,2020
128,41,78950,2020
31,41,79050,2020
282,41,79500,2020
55,41,79950,2020
353,41,80025,2020
1480,41,80150,2020
93,41,80350,2020
104,41,80400,2020
0,41,80750,2020
646,41,80900,2020
69,41,81300,2020
1658,41,81450,2020
420,41,82350,2020
103,41,82450,2020
2454,41,82800,2020
104,41,82850,2020
